rank,rank_change,title,revenue,revenue_change,profits,expenses,profit_change,assets,market_value,employees,ceo_title,sector,industry,years_on_fortune_500,city,state
498,2,ABM Industries,"5,454",6.00%,3.80,5450.2,-93.40%,"$3,813","$2,200","140,000","President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,3,New York,NY
499,0,Vistra Energy,"5,430",5.20%,-254.00,5684,-,"$14,600","$8,925","4,150","President, Chief Executive Officer &  Director",Energy,Energy,2,Irving,TX
500,20,Cintas,"5,429",10.70%,480.70,4948.3,-30.70%,"$6,844","$18,165","42,000",Chairman &  Chief Executive Officer,Business Services,Diversified Outsourcing Services,1,Cincinnati,OH
501,24,Hess,"5,405",11.60%,"-4,074.00",9479,-,"$23,112","$15,948","2,075",Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,New York,NY
502,-30,Host Hotels & Resorts,"5,387",-1.80%,564.00,4823,-26.00%,"$11,693","$13,822",205,"President, Chief Executive Officer &  Director",Financials,Real estate,-,Bethesda,MD
503,-13,Kelly Services,"5,374",1.80%,71.60,5302.4,-40.70%,"$2,378","$1,116","7,800","President, Chief Executive Officer &  Director",Business Services,Temporary Help,-,Troy,MI
504,-50,Genesis Healthcare,"5,374",-6.30%,-579.00,5953,-,"$4,788",$241,"68,700",Chief Executive Officer &  Director,Health Care,Health Care: Medical Facilities,-,Kennett Square,PA
505,-9,Michaels Cos.,"5,362",3.20%,390.50,4971.5,3.30%,"$2,300","$3,586","30,500",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Irving,TX
506,59,Advanced Micro Devices,"5,329",24.70%,43.00,5286,-,"$3,540","$9,740","8,900","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Santa Clara,CA
507,14,Zoetis,"5,307",8.60%,864.00,4443,5.20%,"$8,586","$40,524","9,200",Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,-,Parsippany-Troy Hills,NJ
508,-2,Williams-Sonoma,"5,292",4.10%,259.50,5032.5,-15.00%,"$2,786","$4,441","19,350","President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,-,SF,CA
509,2,Fortune Brands Home & Security,"5,283",6.00%,472.60,4810.4,14.40%,"$5,511","$8,717","23,870",Chairman &  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",-,Deerfield,IL
510,-15,Big Lots,"5,271",1.40%,189.80,5081.2,24.20%,"$1,652","$1,830","22,900",Executive V.P.-Principal Executive Officer,Retailing,Specialty Retailers: Other,-,Columbus,OH
511,-18,Robert Half International,"5,267",0.30%,290.60,4976.4,-15.40%,"$1,868","$7,194","17,200",Chairman &  Chief Executive Officer,Business Services,Temporary Help,-,Menlo Park,CA
512,-4,Post Holdings,"5,226",4.00%,48.30,5177.7,-,"$11,877","$4,968","11,410","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,-,St. Louis,MO
513,-4,Hasbro,"5,210",3.80%,396.60,4813.4,-28.10%,"$5,290","$10,468","5,400",Chairman &  Chief Executive Officer,Household Products,"Toys, Sporting Goods",-,Pawtucket,RI
514,3,Hanover Insurance Group,"5,184",4.80%,186.20,4997.8,20.10%,"$15,470","$5,017","4,600","President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),-,Worcester,MA
515,-1,Navient,"5,179",4.30%,292.00,4887,-57.10%,"$114,991","$3,456","6,700","President, Chief Executive Officer &  Director",Financials,Diversified Financials,-,Wilmington,DE
516,11,Intuit,"5,177",7.20%,971.00,4206,-0.80%,"$4,068","$44,397","8,200","Chairman, President &  Chief Executive Officer",Technology,Computer Software,-,Mountain View,CA
517,-12,Domtar,"5,157",1.20%,-258.00,5415,-301.60%,"$5,212","$2,667","10,000","President, Chief Executive Officer &  Director",Materials,Forest and Paper Products,-,Fort Mill,SC
518,18,Marathon Oil,"5,153",10.80%,"-5,723.00",10876,-,"$22,012","$13,707","2,300","President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",-,Houston,TX
519,11,Cerner,"5,142",7.20%,867.00,4275,36.20%,"$6,469","$19,291","26,000",Chairman &  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,North Kansas City,MO
520,140,Analog Devices,"5,108",49.30%,727.30,4380.7,-15.60%,"$21,141","$33,700","15,300","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Norwood,MA
521,-17,Telephone & Data Systems,"5,044",-1.20%,153.00,4891,255.80%,"$9,295","$3,115","9,900","President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,-,Chicago,IL
522,-35,Essendant,"5,037",-6.20%,-267.00,5304,-518.10%,"$1,774",$294,"6,400","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Electronics and Office Equipment,-,Deerfield,IL
523,8,Sonoco Products,"5,037",5.30%,175.30,4861.7,-38.80%,"$4,558","$4,829","21,000","President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Hartsville,SC
524,-14,Juniper Networks,"5,027",0.70%,306.20,4720.8,-48.30%,"$9,834","$8,364","9,381",Chairman &  Chief Executive Officer,Technology,Network and Other Communications Equipment,-,Sunnyvale,CA
525,10,Commercial Metals,"4,999",7.50%,46.30,4952.7,-15.40%,"$2,975","$2,394","8,797","Chairman, President &  Chief Executive Officer",Materials,Metals,-,Irving,TX
526,44,CSRA,"4,993",17.50%,304.00,4689,248.80%,"$4,888","$6,759","18,500",Chief Executive Officer &  Director,Technology,Information Technology Services,-,Falls Church,VA
527,1,Under Armour,"4,977",3.10%,-48.30,5025.3,-118.80%,"$4,006","$6,756","11,350",Chairman &  Chief Executive Officer,Apparel,Apparel,-,Baltimore,MD
528,1,RPM International,"4,958",3.00%,181.80,4776.2,-48.70%,"$5,090","$6,372","14,318",Chairman &  Chief Executive Officer,Chemicals,Chemicals,-,Medina,OH
529,50,Total System Services,"4,928",18.20%,586.20,4341.8,83.40%,"$6,332","$15,676","11,800","Chairman, President &  Chief Executive Officer",Business Services,Financial Data Services,-,Columbus,GA
530,12,Levi Strauss,"4,904",7.70%,281.40,4622.6,-3.30%,"$3,355",$0,"13,800","President, Chief Executive Officer &  Director",Apparel,Apparel,-,SF,CA
531,16,Brunswick,"4,898",9.10%,146.40,4751.6,-47.00%,"$3,358","$5,188","15,116",Chairman &  Chief Executive Officer,Transportation,Transportation Equipment,-,Libertyville,IL
532,2,YRC Worldwide,"4,891",4.10%,-10.80,4901.8,-150.20%,"$1,586",$299,"32,000",Chief Executive Officer,Transportation,"Trucking, Truck Leasing",-,Overland Park,KS
533,-59,Mattel,"4,882",-10.50%,"-1,053.80",5935.8,-431.40%,"$6,239","$4,523","28,000",Chief Executive Officer,Household Products,"Toys, Sporting Goods",-,El Segundo,CA
534,23,FM Global,"4,875",11.50%,254.10,4620.9,-68.10%,"$23,247",-,"5,441","Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),-,Johnston,RI
535,10,NiSource,"4,875",8.50%,128.50,4746.5,-61.20%,"$19,962","$8,068","8,175","President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Merrillville,IN
536,5,Caesars Entertainment,"4,852",6.50%,-375.00,5227,-,"$25,512","$7,838","65,000","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV
537,19,Electronic Arts,"4,845",10.20%,967.00,3878,-16.30%,"$7,718","$37,188","8,800",Chief Executive Officer &  Director,Technology,Entertainment,-,Redwood City,CA
538,23,Dynegy,"4,842",12.10%,76.00,4766,-,"$11,771","$1,952","2,489",CEO-Vistra Energy,Energy,Energy,-,Houston,TX
539,14,McCormick,"4,834",9.60%,477.40,4356.6,1.10%,"$10,386","$13,964","11,700","Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,-,Sparks Glencoe,MD
540,33,T. Rowe Price,"4,793",13.50%,"1,497.80",3295.2,23.30%,"$7,535","$26,409","6,881","President, Chief Executive Officer &  Director",Financials,Securities,-,Baltimore,MD
541,8,Orbital ATK,"4,764",6.90%,310.00,4454,5.80%,"$5,666","$7,665","13,900","President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,-,Sterling,VA
542,-29,Tutor Perini,"4,757",-4.30%,148.40,4608.6,54.90%,"$4,264","$1,098","10,061",Chairman &  Chief Executive Officer,Engineering &  Construction,"Engineering, Construction",-,Los Angeles,CA
543,-31,Brookdale Senior Living,"4,747",-4.60%,-571.40,5318.4,-,"$7,675","$1,252","62,550","President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,-,Brentwood,TN
544,66,Huntington Bancshares,"4,740",25.30%,"1,186.00",3554,66.60%,"$104,185","$16,209","15,770","Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,-,Columbus,OH
545,121,Wayfair,"4,721",39.70%,-244.60,4965.6,-,"$1,213","$5,977","7,751","Co-Chairman, President &  Chief Executive Officer",Technology,Internet Services and Retailing,-,Boston,MA
546,29,Rush Enterprises,"4,714",11.80%,172.10,4541.9,324.20%,"$2,890","$1,609","6,825","Chairman, President &  Chief Executive Officer",Retailing,"Automotive Retailing, Services",-,New Braunfels,TX
547,64,Xylem,"4,707",24.80%,331.00,4376,27.30%,"$6,860","$13,839","16,200","President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,Rye Brook,NY
548,-33,Neiman Marcus Group,"4,706",-4.90%,-531.80,5237.8,-,"$7,704",-,"13,700",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Dallas,TX
549,3,Hyatt Hotels,"4,685",5.80%,249.00,4436,22.10%,"$7,672","$9,054","45,000","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Chicago,IL
550,35,Sprouts Farmers Market,"4,665",15.30%,158.40,4506.6,27.50%,"$1,582","$3,122","27,000",Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,-,Phoenix,AZ
551,121,Diebold Nixdorf,"4,609",38.00%,-233.10,4842.1,-,"$5,250","$1,170","23,000","President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",-,North Canton,OH
552,57,Roper Technologies,"4,608",21.60%,971.80,3636.2,47.50%,"$14,316","$28,862","14,236","Chairman, President &  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",-,Sarasota,FL
553,6,Smart & Final Stores,"4,571",5.30%,-138.90,4709.9,-1172.90%,"$1,810",$412,"7,570","President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,-,Commerce,CA
554,-36,CommScope Holding,"4,561",-7.40%,193.80,4367.2,-13.00%,"$7,042","$7,670","20,000","President, Chief Executive Officer &  Director",Technology,Network and Other Communications Equipment,-,Newton,NC
555,-9,Tapestry,"4,488.30",-0.10%,591.00,3897.3,28.30%,"$5,831.60","$14,988",12450,Chairman &  Chief Executive Officer,Apparel,Apparel,-,New York City,NY
556,-2,Diplomat Pharmacy,"4,485",1.70%,15.50,4469.5,-45.10%,"$1,940","$1,493","2,298",Interim Chief Executive Officer &  Director,Health Care,Health Care: Pharmacy and Other Services,-,Flint,MI
557,42,Chipotle Mexican Grill,"4,476",14.70%,176.30,4299.7,668.40%,"$2,046","$9,025","68,890",Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure",Food Services,-,Denver,CO
558,18,Agilent Technologies,"4,472",6.40%,684.00,3788,48.10%,"$8,426","$21,574","13,500","President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Santa Clara,CA
559,-8,Science Applications International,"4,454",0.30%,179.00,4275,25.20%,"$2,073","$3,332","15,391",Chairman &  Chief Executive Officer,Technology,Information Technology Services,-,Reston,VA
560,9,MDU Resources Group,"4,444",4.50%,281.20,4162.8,336.40%,"$6,335","$5,500","10,140","President, Chief Executive Officer &  Director",Energy,Energy,-,Bismarck,ND
561,2,Select Medical Holdings,"4,444",3.70%,177.20,4266.8,53.50%,"$5,127","$2,313","36,050","President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,-,Mechanicsburg,PA
562,35,Boise Cascade,"4,432",13.30%,83.00,4349,116.90%,"$1,607","$1,500","6,370",Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,-,Boise,ID
563,80,National General Holdings,"4,431",24.70%,105.80,4325.2,-39.80%,"$8,440","$2,598","7,570","President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),-,New York,NY
564,8,SCANA,"4,407",4.30%,-119.00,4526,-120.00%,"$18,739","$5,356","5,228","President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Cayce,SC
565,-3,Graphic Packaging Holding,"4,404",2.50%,300.20,4103.8,31.70%,"$4,863","$4,754","13,000","President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Atlanta,GA
566,25,Fastenal,"4,391",10.80%,578.60,3812.4,15.80%,"$2,911","$15,703","20,565","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Winona,MN
567,-567,Schneider National,"4,384",8.40%,389.90,3994.1,148.60%,"$3,331","$4,610","19,600","President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",-,Green Bay,WI
568,3,Laureate Education,"4,378",3.20%,91.50,4286.5,-75.40%,"$7,392","$2,578","54,500",Chairman &  Chief Executive Officer,Business Services,Education,-,Baltimore,MD
569,13,Beacon Roofing Supply,"4,377",6.00%,100.90,4276.1,12.20%,"$3,450","$3,609","5,406","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Herndon,VA
570,64,KB Home,"4,369",21.50%,180.60,4188.4,71.00%,"$5,042","$2,468","1,915","Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,-,Los Angeles,CA
571,53,Equinix,"4,368",19.30%,233.00,4135,83.70%,"$18,692","$33,128","7,273","Chairman, President &  Interim Chief Executive Officer",Financials,Real estate,-,Redwood City,CA
572,-127,Terex,"4,363",-25.30%,128.70,4234.3,-,"$3,463","$3,030","10,700","President, Chief Executive Officer &  Director",Industrials,Construction and Farm Machinery,-,Westport,CT
573,23,Crown Castle International,"4,356",11.10%,444.60,3911.4,24.50%,"$32,230","$45,452","4,500","President, Chief Executive Officer &  Director",Financials,Real estate,-,Houston,TX
574,41,CACI International,"4,355",16.30%,163.70,4191.3,14.60%,"$3,911","$3,727","18,600","President, Chief Executive Officer &  Director",Technology,Information Technology Services,-,Arlington,VA
575,-1,Watsco,"4,342",2.90%,208.20,4133.8,13.90%,"$2,047","$6,752","5,200",Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,-,Miami,FL
576,125,Coca-Cola Bottling,"4,324",37.00%,96.50,4227.5,92.50%,"$3,073","$1,615","15,500",Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Beverages,-,Charlotte,NC
577,-13,Welltower,"4,317",0.80%,522.80,3794.2,-51.50%,"$27,944","$20,246",392,Chairman &  Chief Executive Officer,Financials,Real estate,-,Toledo,OH
578,-578,ADT,"4,316",46.30%,342.60,3973.4,-,"$17,015","$5,941","18,000","President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,-,Boca Raton,FL
579,25,Ametek,"4,300",12.00%,681.50,3618.5,33.10%,"$7,796","$17,590","16,900",Chairman &  Chief Executive Officer,Technology,"Scientific,Photographic and  Control Equipment",-,Berwyn,PA
580,10,CNO Financial Group,"4,297",7.80%,175.60,4121.4,-51.00%,"$33,110","$3,630","3,300",Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",-,Carmel,IN
581,67,Camping World Holdings,"4,285",21.80%,28.40,4256.6,-85.20%,"$2,562","$3,084","10,227",Chairman &  Chief Executive Officer,Retailing,"Automotive Retailing, Services",-,Lincolnshire,IL
582,2,LPL Financial Holdings,"4,282",5.70%,238.90,4043.1,24.50%,"$5,359","$5,510","3,736","President, Chief Executive Officer &  Director",Financials,Securities,-,Boston,MA
583,70,Noble Energy,"4,256",21.90%,"-1,118.00",5374,-,"$21,476","$14,913","2,277","Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Houston,TX
584,-16,Bloomin Brands,"4,213",-0.90%,100.20,4112.8,140.10%,"$2,573","$2,256","94,000","Chairman, President &  Chief Executive Officer","Hotels, Restaurants &  Leisure",Food Services,-,Tampa,FL
585,46,Moodys,"4,204",16.60%,"1,000.60",3203.4,275.30%,"$8,594","$30,826","11,896","President, Chief Executive Officer &  Director",Business Services,Financial Data Services,-,New York,NY
586,-121,Symantec,"4,191",-24.70%,-106.00,4297,-104.30%,"$18,174","$16,067","13,000",Chairman &  Chief Executive Officer,Technology,Computer Software,-,Mountain View,CA
587,13,Amkor Technology,"4,187",7.50%,260.70,3926.3,58.80%,"$4,522","$2,425","29,300","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Tempe,AZ
588,50,Skechers U.S.A.,"4,181",16.90%,179.20,4001.8,-26.40%,"$2,735","$6,231","8,150",Chairman &  Chief Executive Officer,Apparel,Apparel,-,Manhattan Beach,CA
589,-22,KBR,"4,171",-2.30%,434.00,3737,-,"$3,674","$2,271","20,000","President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",-,Houston,TX
590,-2,Tiffany,"4,170",4.20%,370.10,3799.9,-17.00%,"$5,468","$12,149","13,100",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,New York,NY
591,-11,Torchmark,"4,156",0.00%,"1,454.50",2701.5,164.60%,"$23,475","$9,583","3,102",Co-Chairman &  Co-Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",-,McKinney,TX
592,157,Broadridge Financial Solutions,"4,143",43.00%,326.80,3816.2,6.30%,"$3,150","$12,796","10,000",Chairman &  Chief Executive Officer,Business Services,Financial Data Services,-,Lake Success,NY
593,-33,Quad/Graphics,"4,131.40",-4.60%,107.20,4024.2,138.80%,"$2,452.40","$1,336",21100,"Chairman, President &  Chief Executive Officer",Media,"Publishing, Printing",-,Sussex,WI
594,28,CF Industries Holdings,"4,130",12.10%,357.70,3772.3,-,"$13,463","$8,805","2,950","President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,Deerfield,IL
595,28,Carlisle,"4,090",11.30%,365.50,3724.5,46.10%,"$5,300","$6,408","14,800","President, Chief Executive Officer &  Director",Materials,"Building Materials, Glass",-,Scottsdale,AZ
596,33,Silgan Holdings,"4,090",13.20%,269.70,3820.3,75.80%,"$4,645","$3,074","12,515","President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Stamford,CT
597,-10,Bemis,"4,046",1.00%,94.00,3952,-60.20%,"$3,700","$4,002","16,582","President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Neenah,WI
598,-15,CA,"4,036",-0.40%,775.00,3261,-1.00%,"$12,610","$14,134","11,800",Chairman &  Chief Executive Officer,Technology,Computer Software,-,New York,NY
599,41,Hub Group,"4,035",12.90%,135.20,3899.8,80.70%,"$1,671","$1,439","4,377",Chairman &  Chief Executive Officer,Transportation,Transportation and Logistics,-,Oak Brook,IL
600,37,Worldpay,"4,027",12.50%,130.10,3896.9,-39.00%,"$8,667","$25,915","3,560",Chairman &  Co-Chief Executive Officer,Business Services,Financial Data Services,-,Cincinnati,OH
601,7,Ingles Markets,"4,003",5.50%,53.90,3949.1,-0.60%,"$1,733",$686,"17,250","President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,-,Black Mountain,NC
602,16,Snap-on,"4,000",7.80%,557.70,3442.3,2.10%,"$5,249","$8,367","12,600","Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Kenosha,WI
603,11,Dentsply Sirona,"3,993",6.60%,"-1,550.00",5543,-460.50%,"$10,375","$11,439","16,100",Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,-,York,PA
604,28,Calumet Specialty Products,"3,992",10.90%,-103.80,4095.8,-,"$2,689",$541,"1,600",Chief Executive Officer,Energy,Petroleum Refining,-,Indianapolis,IN
605,64,Global Payments,"3,975",17.90%,468.40,3506.6,132.20%,"$12,998","$17,789","10,000",Chairman &  Chief Executive Officer,Business Services,Financial Data Services,-,Atlanta,GA
606,13,Encompass Health,"3,971.40",7.10%,256.30,3715.1,3.50%,"$4,893.70","$5,611",30935,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,-,Birmingham,AL
607,0,Martin Marietta Materials,"3,966",3.80%,713.30,3252.7,67.70%,"$8,993","$13,019","8,406","Chairman, President &  Chief Executive Officer",Materials,"Building Materials, Glass",-,Raleigh,NC
608,12,Nasdaq,"3,965",7.00%,734.00,3231,579.60%,"$15,786","$14,361","4,734","President, Chief Executive Officer &  Director",Financials,Securities,-,New York,NY
609,4,Leggett & Platt,"3,944",5.20%,292.60,3651.4,-24.20%,"$3,551","$5,842","22,200","President, Chief Executive Officer &  Director",Household Products,"Home Equipment, Furnishings",-,Carthage,MO
610,77,Universal Forest Products,"3,941",21.60%,119.50,3821.5,18.10%,"$1,465","$1,986","10,000",Chairman &  Chief Executive Officer,Materials,"Building Materials, Glass",-,Grand Rapids,MI
611,-19,Sally Beauty Holdings,"3,938",-0.40%,215.10,3722.9,-3.50%,"$2,123","$2,058","21,755","President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,-,Denton,TX
612,-18,Flowers Foods,"3,921",-0.20%,150.10,3770.9,-8.30%,"$2,660","$4,604","9,800","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,-,Thomasville,GA
613,-58,Barnes & Noble,"3,895",-11.50%,22.00,3873,-,"$1,933",$360,"18,592",Chief Executive Officer &  Director,Retailing,Specialty Retailers: Other,-,New York,NY
614,269,American Equity Investment Life,"3,892",75.30%,174.60,3717.4,109.80%,"$62,031","$2,639",515,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",-,West Des Moines,IA
615,20,Vulcan Materials,"3,890",8.30%,601.20,3288.8,43.30%,"$9,505","$15,110","8,287","Chairman, President &  Chief Executive Officer",Materials,"Building Materials, Glass",-,Birmingham,AL
616,28,Taylor Morrison Home,"3,885",9.40%,91.20,3793.8,73.40%,"$4,326","$2,610","1,800","Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,-,Scottsdale,AZ
617,125,Westinghouse Air Brake,"3,882",32.40%,262.30,3619.7,-14.00%,"$6,580","$7,822","18,000","President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,Wilmerding,PA
618,187,Crestwood Equity Partners,"3,881",54.00%,-191.90,4072.9,-,"$4,285","$1,824",954,"Chairman, President &  Chief Executive Officer",Energy,Energy,-,Houston,TX
619,30,Iron Mountain,"3,846",9.10%,183.80,3662.2,75.40%,"$10,972","$9,375","24,000","President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,-,Boston,MA
620,7,Lennox International,"3,840",5.40%,305.70,3534.3,10.00%,"$1,892","$8,415","11,450",Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,-,Richardson,TX
621,-18,General Cable,"3,837",-0.50%,-56.60,3893.6,-,"$2,235","$1,499","8,500","President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",-,Highland Heights,KY
622,8,American Eagle Outfitters,"3,796",5.10%,204.20,3591.8,-3.90%,"$1,816","$3,540","24,100",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Pittsburgh,PA
623,29,Church & Dwight,"3,776",8.10%,743.40,3032.6,62.00%,"$6,015","$12,294","4,700","President, Chief Executive Officer &  Director",Household Products,Household and Personal Products,-,Ewing Township,NJ
624,12,Platform Specialty Products,"3,776",5.30%,-296.20,4072.2,-,"$10,252","$2,774","7,850",Chief Executive Officer &  Director,Chemicals,Chemicals,-,West Palm Beach,FL
625,-625,JELD-WEN Holding,"3,764",2.40%,10.80,3753.2,-97.10%,"$2,863","$3,257","21,000",Chairman &  Interim Chief Executive Officer,Materials,"Building Materials, Glass",-,Charlotte,NC
626,-24,OneMain Holdings,"3,756",-3.30%,183.00,3573,-14.90%,"$19,433","$4,062","10,100","President, Chief Executive Officer &  Director",Financials,Diversified Financials,-,Evansville,IN
627,-1,Colfax,"3,737",2.50%,151.10,3585.9,17.90%,"$6,710","$3,934","14,300","President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,Annapolis Junction,MD
628,11,Zebra Technologies,"3,722",4.10%,17.00,3705,-,"$4,275","$7,412","7,000",Chairman &  Chief Executive Officer,Industrials,"Electronics, Electrical Equip.",-,Lincolnshire,IL
629,-34,Andersons,"3,686",-6.10%,42.50,3643.5,266.70%,"$2,162",$943,"1,819","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,-,Maumee,OH
630,44,TD Ameritrade Holding,"3,685",10.50%,872.00,2813,3.60%,"$38,627","$33,605","10,412","President, Chief Executive Officer &  Director",Financials,Securities,-,Omaha,NE
631,238,Carlyle Group,"3,676",61.60%,244.10,3431.9,3714.10%,"$12,281","$2,145","1,600",Co-Chief Executive Officer &  Director,Financials,Securities,-,Leavenworth,WA
632,18,Hubbell,"3,669",4.70%,243.10,3425.9,-17.00%,"$3,721","$6,678","17,700","Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",-,Shelton,CT
633,-94,Trinity Industries,"3,663",-20.20%,702.50,2960.5,104.50%,"$9,543","$4,921","15,605","Chairman, President &  Chief Executive Officer",Transportation,Transportation Equipment,-,Dallas,TX
634,31,Darling Ingredients,"3,662",7.80%,128.50,3533.5,25.60%,"$4,958","$2,848","9,800",Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Production,-,Irving,TX
635,-46,Flowserve,"3,661",-8.30%,2.70,3658.3,-98.00%,"$4,911","$5,668","17,000","President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,Irving,TX
636,-636,Antero Resources,"3,656",109.50%,615.10,3040.9,-,"$15,262","$6,283",593,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,Denver,CO
637,43,Skyworks Solutions,"3,651",11.00%,"1,010.20",2640.8,1.50%,"$4,574","$18,264","8,400","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Woburn,MA
638,61,Landstar System,"3,649",15.10%,177.10,3471.9,28.90%,"$1,353","$4,604","1,273","President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",-,Jacksonville,FL
639,46,Buckeye Partners,"3,648",12.30%,478.80,3169.2,-10.60%,"$10,305","$5,494","1,870","Chairman, President &  Chief Executive Officer",Energy,Pipelines,-,Houston,TX
640,86,MRC Global,"3,646",19.90%,50.00,3596,-,"$2,340","$1,517","3,580","President, Chief Executive Officer &  Director",Energy,"Oil and Gas Equipment, Services",-,Houston,TX
641,-8,CME Group,"3,645",1.40%,"4,063.40",-418.4,164.90%,"$75,791","$55,058","2,830",Chairman &  Chief Executive Officer,Financials,Securities,-,Chicago,IL
642,34,Greif,"3,638",9.50%,118.60,3519.4,58.30%,"$3,232","$2,636","13,000","President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Delaware,OH
643,-643,Nexeo Solutions,"3,637",241.30%,14.40,3622.6,-,"$2,254",$960,"2,640","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,The Woodlands,TX
644,11,Cooper-Standard Holdings,"3,618",4.20%,135.30,3482.7,-2.70%,"$2,726","$2,200","32,000",Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,-,Novi,MI
645,0,Urban Outfitters,"3,616",2.00%,108.30,3507.7,-50.40%,"$1,953","$4,001","16,330",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Philadelphia,PA
